tweet,username,date,likes,retweets,url,cluster
"#ياريس_ارجوك_الطلاب_هتموت Like I just don't get it y'know?
We are the only country that it's minster of education w… https://t.co/aiXfpBL5u0",gggg88172462,Mon Feb 22 17:41:44 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906836865417220,1.0
"...and what are they going to do....whine, like usual?  how about getting organized and march on School Boards",EagleFlyHigh3,Mon Feb 22 17:41:31 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906781618069504,1.0
Maybe because you had the nerve to criticize DR FAUCI what a stupid comment you made as you are not that important… https://t.co/ON1nz5QzGz,ellamcgow1,Mon Feb 22 17:41:25 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906756192186372,1.0
COVID-19 after bozza’s announcement today lmfaooooo man wtf 😂😂😂 https://t.co/9n8xlwuDzC,ChilledYT_,Mon Feb 22 17:41:06 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906675497967617,1.0
"@cnnbrk This is insane. I'm not wearing a mask in 2022. 

This was the whole point of the vaccine.",binge_tweeter,Mon Feb 22 17:41:04 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906669026148353,1.0
@maradoddsy7 The shambles government are petrified to open up anything until May after the disastrous decision to o… https://t.co/pXcVL9efPx,ggalavan,Mon Feb 22 17:44:05 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907428744585216,2.0
What a vacuous clown this geezer is.,zipsbazaar,Mon Feb 22 17:43:53 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907376689123330,2.0
"@SchranerBurgen1 Thank you so much for your help and support.

We really voted NLD despite Covid 19 pandemic

We wa… https://t.co/ZUGJ0ZQYHa",sandarws95,Mon Feb 22 17:41:50 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906860005269513,2.0
"14 x 17 original painting

#artwork #originalart #forsale 
#mondaymotivation #mondaymood #mondaythoughts #artist… https://t.co/rjSEZMVqNC",CreativesSma,Mon Feb 22 17:40:34 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906540948889605,2.0
@Daniel47822224 @broadeyeview @DrEricDing @OurWorldInData The Rafah border crossing was only open approx 40 days a… https://t.co/bQTlMO2CUH,pdxKatherine,Mon Feb 22 17:40:26 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906510586220552,2.0
tweet,username,date,likes,retweets,url,cluster
