tweet,username,date,likes,retweets,url,cluster
"Thanks, I hate it.",Intersection911,Mon Feb 22 17:30:40 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363904052594049026,1.0
@afneil Vaccine passports are not essential to restart limited international travel to countries that have all but… https://t.co/h9ckg7mFrU,oharach,Mon Feb 22 17:30:35 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363904027864535042,1.0
Learn how to shift your digital marketing strategy during the COVID-19 pandemic! 💻 Register for a webinar on Wednes… https://t.co/mHBNLD9VyH,CBRbiz,Mon Feb 22 17:30:25 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903988119306244,0.0
"Lynwood Centennial Celebrates Black History Month

Resident Percy Brown is a space exploration pioneer. Before the… https://t.co/6BaeeekWVU",MyLynwoodca,Mon Feb 22 17:30:11 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903927851376642,0.0
Latest update for UK Nationals in Bulgaria 🇧🇬 on how to access COVID-19 vaccines.⁦⁦@UKinBulgaria⁩  https://t.co/MnScFQ06df,RobDixonHMA,Mon Feb 22 17:30:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903890547212297,1.0
"Navigating the pandemic, and the streets of Turin, with @Google.

https://t.co/vC5OC7v4o5 https://t.co/QfMufMgI0X",shotscreative,Mon Feb 22 17:30:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903882733051908,0.0
@KatzOnEarth I bought a set 2 weeks ago. It's helping a lot to lift heavy weights while waiting for the pandemic to get under control.,IzabelaKaramia,Mon Feb 22 17:29:06 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903655188004867,1.0
"22-FEBRUARY-2021
KUWAIT COVID-19 CASES

New Test : 6,851

Active Cases: 10,758
———————-
NEW CASES
Detected: 899
Dea… https://t.co/HokQU1gdnC",HeadlineKwt,Mon Feb 22 17:28:30 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903504016953345,0.0
"Something or someone needs to further investigate this, how long should we let him keep killing Floridians everywhe… https://t.co/O8x0hO543G",jilimac77,Mon Feb 22 17:28:29 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903503232548869,1.0
Director of care home with worst COVID-19 death toll in B.C. resigns https://t.co/b4RiQx3dea,CastlegarNews,Mon Feb 22 17:28:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903386236583939,1.0
