tweet,username,date,hashtags,likes,retweets,url
i wish i could snort the covid vaccine so i don’t have to face my fear of needles,SAlNTFAlRY,Mon Feb 22 17:09:50 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363898807751241730
tweet,username,date,hashtags,likes,retweets,url
"@DCBMEP @BorisJohnson No, if the vaccine worked we would be able to come out of lockdown earlier now that the vulne… https://t.co/rrhZV2ecCU",PippaBird,Mon Feb 22 17:45:11 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907704822108163
"https://t.co/a3oe0X09KP

Lockdowns don't work. Pass it on! #Covid19UK #coronavirusuk #coronavirus #scamdemic2020",MoodyBluesv2,Mon Feb 22 17:39:03 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906160009576453
"Well what evidence is there to show the vaccine is working? 
Why wasn't it all down to us being in lockdown, stayin… https://t.co/ocnR6ID9E3",wigmore_welsh,Mon Feb 22 17:35:29 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905261073752064
"Vaccines are working well, but modelling shows Government must be cautious in easing lockdown https://t.co/7a9CKxqu6N",Ekklesia_co_uk,Mon Feb 22 17:26:17 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363902949261475845
Well if @BorisJohnson thinks his lockdown road map is going to work so we can be back to normal life with no restri… https://t.co/AfolN7o8yW,BORIS_A_NO_NO,Mon Feb 22 17:11:49 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363899308836335616
"Vaccines are working well, but modelling shows Government must be cautious in easing lockdown.

There's nothing cau… https://t.co/OqXGWNnJYl",gg_poulloin,Mon Feb 22 17:10:01 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363898853741707280
"Daily Mail reports infections are up. So vaccinations, lockdown, face nappies, social distancing are working obviou… https://t.co/4Fs2M7do6Z",RetroSquirrel,Mon Feb 22 17:01:34 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363896725816160264
Public health thinks lockdowns work? HA!  Ask public health to explain the attached plot and explain which method o… https://t.co/C5dv4lKGEG,spinnaker663,Mon Feb 22 17:01:28 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363896704488136710
tweet,username,date,hashtags,likes,retweets,url
@DrAmirKhanGP Good for you / WHAT you dont show is how many deaths from this vaccine and rising folks going blind etc  its a joke ?,DDurwent,Mon Feb 22 17:45:51 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907872392904708
"@cjsnowdon @NewMumOnline Fair point. Good to see you returning to the fold. The vaccine ""cavalry"" is here so we nee… https://t.co/lRzISAh1fm",victorking888,Mon Feb 22 17:45:23 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907754541395968
"Almost as good as single malt: Pfizer-BioNTech, Oxford-AstraZeneca COVID-19 vaccines very effective after one dose,… https://t.co/o5m5caa1vP",CrustyMaclean,Mon Feb 22 17:43:38 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907315649441794
